รายงานจำนวนการเกิดอุบัติเหตุแยกรายวัน ปี 2562,,,
วันที่,จำนวนการเกิดอุบัติเหตุ (ครั้ง),จำนวนผู้ได้รับบาดเจ็บ (คน),จำนวนผู้เสียชีวิต (คน)
 วันที่27 ธันวาคม 2561,419,428,45
 วันที่28 ธันวาคม 2561,569,579,68
 วันที่29 ธันวาคม 2561,643,663,84
 วันที่30 ธันวาคม 2561,559,572,55
 วันที่31ธันวาคม 2561,568,586,76
 วันที่1 มกราคม 2562,664,673,91
 วันที่2มกราคม 2562,369,391,44
รวม 7 วัน,"3,791","3,892",463
,,,
,,,
รายงานจำนวนการเกิดอุบัติเหตุช่วงสงกรานต์แยกรายวัน ปี 2562,,,
วันที่,จำนวนการเกิดอุบัติเหตุ (ครั้ง),จำนวนผู้ได้รับบาดเจ็บ (คน),จำนวนผู้เสียชีวิต (คน)
11-เม.ย.-62,466,468,57
12-เม.ย.-62,497,512,62
13-เม.ย.-62,699,724,75
14-เม.ย.-62,566,594,62
15-เม.ย.-62,472,489,57
16-เม.ย.-62,365,378,43
17-เม.ย.-62,273,277,30
รวม 7 วัน,"3,338","3,442",386
,,,
